axis,value,task,seed,acc,eps,support_size,support
r0,0,antonym,0,0.36,0.7638,5,synonym|english-french|english-spanish|next-item|prev-item
r0,0,antonym,1,0.28,0.7621,4,synonym|present-past|next-item|prev-item
r0,0,antonym,2,0.28,0.7884,4,synonym|english-french|next-item|prev-item
r0,0,synonym,0,0.0,0.7626,5,antonym|present-past|english-french|english-german|english-spanish
r0,0,synonym,1,0.04,0.7129,5,antonym|present-past|english-french|english-german|english-spanish
r0,0,synonym,2,0.04,0.7566,5,antonym|present-past|english-french|english-german|english-spanish
r0,0,present-past,0,0.8,0.642,5,singular-plural|capitalize|english-french|english-german|english-spanish
r0,0,present-past,1,0.84,0.6107,4,singular-plural|capitalize|english-french|english-german
r0,0,present-past,2,0.84,0.5626,5,singular-plural|capitalize|english-french|english-german|english-spanish
r0,0,singular-plural,0,0.12,0.5891,5,present-past|capitalize|capitalize-first-letter|english-french|english-german
r0,0,singular-plural,1,0.08,0.5937,4,present-past|capitalize|english-french|english-german
r0,0,singular-plural,2,0.04,0.6012,4,present-past|capitalize|english-french|english-german
r0,0,capitalize,0,0.72,0.7531,3,present-past|singular-plural|animal-from-list
r0,0,capitalize,1,0.6,0.7809,5,present-past|singular-plural|lowercase-first-letter|choose-first-of-list|animal-from-list
r0,0,capitalize,2,0.92,0.6917,5,present-past|singular-plural|capitalize-first-letter|lowercase-first-letter|choose-first-of-list
r0,0,capitalize-first-letter,0,0.0,0.4894,5,present-past|capitalize|capitalize-last-letter|lowercase-first-letter|next-capital-letter
r0,0,capitalize-first-letter,1,0.04,0.4894,4,capitalize-last-letter|lowercase-first-letter|next-capital-letter|animal-from-list
r0,0,capitalize-first-letter,2,0.0,0.515,4,capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length
r0,0,capitalize-last-letter,0,0.0,0.7552,4,capitalize-first-letter|lowercase-first-letter|next-capital-letter|word-length
r0,0,capitalize-last-letter,1,0.0,0.881,5,capitalize-first-letter|lowercase-first-letter|next-capital-letter|animal-from-list|color-from-list
r0,0,capitalize-last-letter,2,0.0,0.7137,5,present-past|capitalize-first-letter|lowercase-first-letter|prev-item|next-capital-letter
r0,0,lowercase-first-letter,0,0.28,0.5134,4,capitalize|capitalize-first-letter|capitalize-last-letter|next-capital-letter
r0,0,lowercase-first-letter,1,0.12,0.5109,4,present-past|capitalize|capitalize-first-letter|capitalize-last-letter
r0,0,lowercase-first-letter,2,0.32,0.5663,3,capitalize-first-letter|capitalize-last-letter|next-capital-letter
r0,0,english-french,0,0.04,0.5043,5,synonym|present-past|capitalize|english-german|english-spanish
r0,0,english-french,1,0.0,0.4825,5,country-capital|present-past|capitalize|english-german|english-spanish
r0,0,english-french,2,0.0,0.5657,5,synonym|present-past|singular-plural|english-german|english-spanish
r0,0,english-german,0,0.0,0.4917,4,country-capital|park-country|english-french|english-spanish
r0,0,english-german,1,0.0,0.5124,5,synonym|present-past|capitalize|english-french|english-spanish
r0,0,english-german,2,0.0,0.5066,5,country-capital|synonym|capitalize|english-french|english-spanish
r0,0,english-spanish,0,0.0,0.4473,5,country-capital|present-past|singular-plural|english-french|english-german
r0,0,english-spanish,1,0.04,0.4529,3,present-past|english-french|english-german
r0,0,english-spanish,2,0.04,0.4728,3,present-past|english-french|english-german
r0,0,next-item,0,0.36,0.6304,5,antonym|present-past|singular-plural|capitalize-last-letter|prev-item
r0,0,next-item,1,0.2,0.6432,2,present-past|prev-item
r0,0,next-item,2,0.44,0.605,4,antonym|present-past|capitalize-last-letter|prev-item
r0,0,prev-item,0,0.4,0.6652,4,antonym|singular-plural|lowercase-first-letter|next-item
r0,0,prev-item,1,0.28,0.7111,4,present-past|capitalize|next-item|word-length
r0,0,prev-item,2,0.24,0.6793,3,antonym|singular-plural|next-item
r0,0,next-capital-letter,0,0.0,0.7838,5,capitalize|capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|word-length
r0,0,next-capital-letter,1,0.0,0.4954,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-item
r0,0,next-capital-letter,2,0.0,0.8098,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-item
r0,0,word-length,0,0.0,0.9641,2,capitalize-last-letter|next-capital-letter
r0,0,word-length,1,0.0,0.9346,5,person-instrument|capitalize-last-letter|lowercase-first-letter|prev-item|next-capital-letter
r0,0,word-length,2,0.0,0.8816,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter
r0,0,alphabetically-first,0,0.12,0.4291,4,alphabetically-last|choose-last-of-list|choose-middle-of-list|animal-from-list
r0,0,alphabetically-first,1,0.08,0.4856,3,choose-last-of-list|choose-middle-of-list|animal-from-list
r0,0,alphabetically-first,2,0.04,0.4164,5,alphabetically-last|choose-last-of-list|choose-middle-of-list|animal-from-list|verb-from-list
r0,0,alphabetically-last,0,0.12,0.4049,4,alphabetically-first|choose-last-of-list|choose-middle-of-list|animal-from-list
r0,0,alphabetically-last,1,0.04,0.4244,4,alphabetically-first|choose-last-of-list|choose-middle-of-list|animal-from-list
r0,0,alphabetically-last,2,0.04,0.4409,4,alphabetically-first|choose-last-of-list|choose-middle-of-list|animal-from-list
r0,0,choose-first-of-list,0,0.08,0.4829,5,alphabetically-first|alphabetically-last|choose-middle-of-list|animal-from-list|verb-from-list
r0,0,choose-first-of-list,1,0.08,0.515,5,alphabetically-first|alphabetically-last|choose-middle-of-list|animal-from-list|fruit-from-list
r0,0,choose-first-of-list,2,0.08,0.4901,4,alphabetically-first|choose-middle-of-list|animal-from-list|verb-from-list
r0,0,choose-last-of-list,0,0.24,0.5297,5,alphabetically-first|alphabetically-last|choose-first-of-list|choose-middle-of-list|animal-from-list
r0,0,choose-last-of-list,1,0.08,0.4312,5,alphabetically-first|alphabetically-last|choose-middle-of-list|animal-from-list|verb-from-list
r0,0,choose-last-of-list,2,0.2,0.4756,5,alphabetically-first|alphabetically-last|choose-middle-of-list|animal-from-list|verb-from-list
r0,0,choose-middle-of-list,0,0.0,0.4561,5,alphabetically-first|alphabetically-last|choose-last-of-list|animal-from-list|verb-from-list
r0,0,choose-middle-of-list,1,0.0,0.5117,4,alphabetically-first|alphabetically-last|animal-from-list|verb-from-list
r0,0,choose-middle-of-list,2,0.0,0.4786,5,alphabetically-first|alphabetically-last|choose-first-of-list|animal-from-list|verb-from-list
r0,0,animal-from-list,0,0.24,0.471,4,alphabetically-first|choose-first-of-list|choose-middle-of-list|fruit-from-list
r0,0,animal-from-list,1,0.2,0.4895,5,alphabetically-last|choose-first-of-list|choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,0,animal-from-list,2,0.16,0.456,5,alphabetically-first|choose-first-of-list|choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,0,color-from-list,0,0.24,0.5731,5,alphabetically-first|choose-first-of-list|choose-middle-of-list|animal-from-list|fruit-from-list
r0,0,color-from-list,1,0.04,0.4629,5,alphabetically-first|choose-first-of-list|choose-middle-of-list|animal-from-list|fruit-from-list
r0,0,color-from-list,2,0.44,0.4742,4,choose-first-of-list|choose-middle-of-list|animal-from-list|fruit-from-list
r0,0,fruit-from-list,0,0.04,0.4755,4,choose-last-of-list|choose-middle-of-list|animal-from-list|color-from-list
r0,0,fruit-from-list,1,0.0,0.4402,4,choose-last-of-list|animal-from-list|color-from-list|verb-from-list
r0,0,fruit-from-list,2,0.04,0.4437,5,choose-last-of-list|choose-middle-of-list|animal-from-list|color-from-list|verb-from-list
r0,0,verb-from-list,0,0.36,0.539,5,alphabetically-first|alphabetically-last|choose-last-of-list|choose-middle-of-list|animal-from-list
r0,0,verb-from-list,1,0.44,0.5237,5,alphabetically-last|choose-first-of-list|choose-last-of-list|choose-middle-of-list|animal-from-list
r0,0,verb-from-list,2,0.44,0.5178,4,choose-first-of-list|choose-last-of-list|choose-middle-of-list|animal-from-list
r0,1,country-capital,0,0.96,0.8191,5,country-currency|landmark-country|park-country|product-company|synonym
r0,1,country-capital,1,0.96,0.7792,3,country-currency|park-country|product-company
r0,1,country-capital,2,0.96,0.8099,4,country-currency|landmark-country|park-country|product-company
r0,1,country-currency,0,0.08,0.7745,4,country-capital|park-country|person-instrument|product-company
r0,1,country-currency,1,0.12,0.8277,5,country-capital|park-country|person-instrument|choose-last-of-list|animal-from-list
r0,1,country-currency,2,0.08,0.769,5,country-capital|park-country|person-instrument|product-company|alphabetically-first
r0,1,landmark-country,0,0.6,0.6706,4,park-country|person-occupation|person-sport|product-company
r0,1,landmark-country,1,0.72,0.7018,5,country-capital|country-currency|park-country|person-occupation|product-company
r0,1,landmark-country,2,0.68,0.6345,4,park-country|person-occupation|product-company|verb-from-list
r0,1,park-country,0,0.68,0.7085,5,country-capital|landmark-country|person-occupation|person-instrument|product-company
r0,1,park-country,1,0.8,0.6337,4,landmark-country|person-occupation|person-sport|product-company
r0,1,park-country,2,0.8,0.7029,3,landmark-country|person-occupation|product-company
r0,1,person-occupation,0,0.0,0.7353,4,person-sport|person-instrument|product-company|synonym
r0,1,person-occupation,1,0.0,0.7442,4,person-sport|person-instrument|product-company|alphabetically-first
r0,1,person-occupation,2,0.0,0.6796,5,person-sport|person-instrument|product-company|synonym|alphabetically-first
r0,1,person-sport,0,0.0,0.6859,4,park-country|person-occupation|person-instrument|product-company
r0,1,person-sport,1,0.0,0.6581,4,park-country|person-occupation|person-instrument|product-company
r0,1,person-sport,2,0.0,0.7112,5,country-currency|park-country|person-occupation|person-instrument|product-company
r0,1,person-instrument,0,0.0,0.8238,5,park-country|person-occupation|person-sport|product-company|alphabetically-last
r0,1,person-instrument,1,0.0,0.7986,4,person-occupation|person-sport|product-company|word-length
r0,1,person-instrument,2,0.0,0.8695,3,person-occupation|person-sport|product-company
r0,1,product-company,0,0.36,0.8211,5,landmark-country|park-country|person-occupation|person-sport|person-instrument
r0,1,product-company,1,0.36,0.8428,5,landmark-country|park-country|person-occupation|person-sport|person-instrument
r0,1,product-company,2,0.24,0.828,5,country-currency|landmark-country|park-country|person-occupation|person-instrument
r0,1,antonym,0,0.64,0.8232,4,synonym|english-french|next-item|prev-item
r0,1,antonym,1,0.56,0.856,3,synonym|next-item|prev-item
r0,1,antonym,2,0.48,0.8233,5,synonym|capitalize|english-french|next-item|prev-item
r0,1,synonym,0,0.56,0.8691,4,antonym|english-french|english-german|alphabetically-first
r0,1,synonym,1,0.64,0.8205,3,antonym|english-french|english-german
r0,1,synonym,2,0.6,0.8349,5,antonym|english-french|english-german|alphabetically-first|verb-from-list
r0,1,present-past,0,0.88,0.7811,4,singular-plural|capitalize|english-french|english-german
r0,1,present-past,1,0.88,0.7338,4,singular-plural|capitalize|english-french|english-german
r0,1,present-past,2,0.92,0.7079,5,singular-plural|capitalize|english-french|english-german|english-spanish
r0,1,singular-plural,0,0.96,0.6987,3,present-past|capitalize|english-french
r0,1,singular-plural,1,0.96,0.7011,5,present-past|capitalize|english-french|english-german|english-spanish
r0,1,singular-plural,2,0.96,0.694,3,present-past|capitalize|english-french
r0,1,capitalize,0,0.96,0.8525,4,present-past|singular-plural|capitalize-first-letter|lowercase-first-letter
r0,1,capitalize,1,1.0,0.8905,4,present-past|singular-plural|capitalize-first-letter|lowercase-first-letter
r0,1,capitalize,2,1.0,0.8424,4,present-past|singular-plural|capitalize-first-letter|lowercase-first-letter
r0,1,capitalize-first-letter,0,0.16,0.5373,5,capitalize|capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length
r0,1,capitalize-first-letter,1,0.24,0.5228,4,capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length
r0,1,capitalize-first-letter,2,0.04,0.5568,4,capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length
r0,1,capitalize-last-letter,0,0.0,0.74,4,capitalize-first-letter|lowercase-first-letter|next-capital-letter|word-length
r0,1,capitalize-last-letter,1,0.0,0.8997,3,capitalize-first-letter|lowercase-first-letter|next-capital-letter
r0,1,capitalize-last-letter,2,0.0,0.7561,4,capitalize-first-letter|lowercase-first-letter|prev-item|next-capital-letter
r0,1,lowercase-first-letter,0,0.52,0.5715,2,capitalize-first-letter|capitalize-last-letter
r0,1,lowercase-first-letter,1,0.48,0.5773,3,capitalize-first-letter|capitalize-last-letter|prev-item
r0,1,lowercase-first-letter,2,0.6,0.5785,5,capitalize-first-letter|capitalize-last-letter|next-item|next-capital-letter|word-length
r0,1,english-french,0,0.56,0.6764,3,synonym|english-german|english-spanish
r0,1,english-french,1,0.08,0.6328,5,english-german|english-spanish|alphabetically-first|choose-first-of-list|animal-from-list
r0,1,english-french,2,0.56,0.7607,4,present-past|english-german|english-spanish|choose-middle-of-list
r0,1,english-german,0,0.28,0.6108,3,english-french|english-spanish|choose-first-of-list
r0,1,english-german,1,0.44,0.6685,4,synonym|capitalize|english-french|english-spanish
r0,1,english-german,2,0.08,0.6226,5,synonym|english-french|english-spanish|alphabetically-first|choose-first-of-list
r0,1,english-spanish,0,0.44,0.5898,4,english-french|english-german|alphabetically-first|animal-from-list
r0,1,english-spanish,1,0.56,0.5558,5,country-currency|synonym|english-french|english-german|choose-middle-of-list
r0,1,english-spanish,2,0.76,0.6274,2,english-french|english-german
r0,1,next-item,0,0.48,0.6677,4,antonym|capitalize-last-letter|english-spanish|prev-item
r0,1,next-item,1,0.56,0.6874,2,present-past|prev-item
r0,1,next-item,2,0.56,0.6468,4,antonym|capitalize-last-letter|prev-item|color-from-list
r0,1,prev-item,0,0.4,0.6934,3,antonym|lowercase-first-letter|next-item
r0,1,prev-item,1,0.64,0.7386,4,lowercase-first-letter|next-item|next-capital-letter|word-length
r0,1,prev-item,2,0.32,0.689,5,antonym|capitalize|lowercase-first-letter|next-item|alphabetically-last
r0,1,next-capital-letter,0,0.0,0.7823,5,capitalize|capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|word-length
r0,1,next-capital-letter,1,0.0,0.5036,5,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-item|word-length
r0,1,next-capital-letter,2,0.0,0.804,5,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-item|word-length
r0,1,word-length,0,0.0,0.954,3,capitalize-first-letter|capitalize-last-letter|next-capital-letter
r0,1,word-length,1,0.0,0.939,5,person-instrument|capitalize-last-letter|lowercase-first-letter|prev-item|next-capital-letter
r0,1,word-length,2,0.0,0.8873,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter
r0,1,alphabetically-first,0,0.2,0.5188,5,alphabetically-last|choose-last-of-list|choose-middle-of-list|animal-from-list|verb-from-list
r0,1,alphabetically-first,1,0.36,0.5848,4,alphabetically-last|choose-last-of-list|choose-middle-of-list|verb-from-list
r0,1,alphabetically-first,2,0.2,0.528,4,alphabetically-last|choose-last-of-list|choose-middle-of-list|animal-from-list
r0,1,alphabetically-last,0,0.24,0.506,5,alphabetically-first|choose-last-of-list|choose-middle-of-list|animal-from-list|verb-from-list
r0,1,alphabetically-last,1,0.28,0.5751,5,alphabetically-first|choose-last-of-list|choose-middle-of-list|animal-from-list|verb-from-list
r0,1,alphabetically-last,2,0.32,0.5703,5,alphabetically-first|choose-last-of-list|choose-middle-of-list|animal-from-list|verb-from-list
r0,1,choose-first-of-list,0,0.48,0.6565,4,alphabetically-first|alphabetically-last|choose-middle-of-list|verb-from-list
r0,1,choose-first-of-list,1,0.56,0.7029,5,alphabetically-first|alphabetically-last|choose-middle-of-list|animal-from-list|fruit-from-list
r0,1,choose-first-of-list,2,0.56,0.6633,5,alphabetically-first|alphabetically-last|choose-middle-of-list|animal-from-list|verb-from-list
r0,1,choose-last-of-list,0,0.4,0.6485,5,alphabetically-first|alphabetically-last|choose-first-of-list|choose-middle-of-list|verb-from-list
r0,1,choose-last-of-list,1,0.28,0.5367,5,alphabetically-first|alphabetically-last|choose-middle-of-list|animal-from-list|verb-from-list
r0,1,choose-last-of-list,2,0.4,0.616,4,alphabetically-first|alphabetically-last|choose-middle-of-list|verb-from-list
r0,1,choose-middle-of-list,0,0.16,0.5787,5,alphabetically-first|alphabetically-last|choose-last-of-list|animal-from-list|verb-from-list
r0,1,choose-middle-of-list,1,0.2,0.5732,5,alphabetically-first|alphabetically-last|choose-last-of-list|fruit-from-list|verb-from-list
r0,1,choose-middle-of-list,2,0.12,0.5664,5,alphabetically-first|alphabetically-last|choose-first-of-list|choose-last-of-list|verb-from-list
r0,1,animal-from-list,0,0.52,0.6299,5,alphabetically-first|choose-first-of-list|choose-middle-of-list|color-from-list|fruit-from-list
r0,1,animal-from-list,1,0.48,0.6152,5,alphabetically-last|choose-last-of-list|choose-middle-of-list|color-from-list|fruit-from-list
r0,1,animal-from-list,2,0.24,0.6765,4,alphabetically-first|alphabetically-last|choose-middle-of-list|color-from-list
r0,1,color-from-list,0,0.64,0.7799,5,alphabetically-first|alphabetically-last|choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,1,color-from-list,1,0.52,0.6881,3,choose-middle-of-list|animal-from-list|fruit-from-list
r0,1,color-from-list,2,0.72,0.6649,5,alphabetically-first|choose-first-of-list|choose-middle-of-list|animal-from-list|fruit-from-list
r0,1,fruit-from-list,0,0.6,0.5665,5,alphabetically-first|choose-last-of-list|choose-middle-of-list|animal-from-list|color-from-list
r0,1,fruit-from-list,1,0.6,0.5798,4,alphabetically-last|choose-last-of-list|animal-from-list|color-from-list
r0,1,fruit-from-list,2,0.48,0.5585,4,choose-last-of-list|choose-middle-of-list|animal-from-list|color-from-list
r0,1,verb-from-list,0,0.44,0.6041,5,alphabetically-first|alphabetically-last|choose-first-of-list|choose-last-of-list|choose-middle-of-list
r0,1,verb-from-list,1,0.36,0.6319,4,alphabetically-last|choose-first-of-list|choose-last-of-list|choose-middle-of-list
r0,1,verb-from-list,2,0.36,0.6128,5,alphabetically-first|alphabetically-last|choose-first-of-list|choose-last-of-list|choose-middle-of-list
r0,2,country-capital,0,0.96,0.8498,5,country-currency|landmark-country|park-country|product-company|synonym
r0,2,country-capital,1,0.96,0.8088,4,country-currency|park-country|product-company|synonym
r0,2,country-capital,2,0.96,0.8237,5,country-currency|landmark-country|park-country|product-company|synonym
r0,2,country-currency,0,0.08,0.8519,4,country-capital|park-country|person-instrument|product-company
r0,2,country-currency,1,0.12,0.8694,3,country-capital|park-country|person-instrument
r0,2,country-currency,2,0.04,0.801,5,country-capital|park-country|person-instrument|product-company|singular-plural
r0,2,landmark-country,0,0.2,0.6983,5,country-capital|park-country|person-occupation|person-sport|product-company
r0,2,landmark-country,1,0.68,0.7473,5,country-capital|country-currency|park-country|person-occupation|product-company
r0,2,landmark-country,2,0.68,0.6576,4,park-country|person-occupation|product-company|next-capital-letter
r0,2,park-country,0,0.24,0.7453,5,country-capital|landmark-country|person-occupation|person-instrument|product-company
r0,2,park-country,1,0.76,0.6317,5,country-capital|landmark-country|person-occupation|person-sport|product-company
r0,2,park-country,2,0.56,0.7182,4,country-capital|landmark-country|person-occupation|product-company
r0,2,person-occupation,0,0.0,0.752,5,person-sport|person-instrument|product-company|synonym|verb-from-list
r0,2,person-occupation,1,0.0,0.7674,4,person-sport|person-instrument|product-company|alphabetically-first
r0,2,person-occupation,2,0.0,0.7136,5,person-sport|person-instrument|product-company|synonym|alphabetically-first
r0,2,person-sport,0,0.0,0.7059,4,park-country|person-occupation|person-instrument|product-company
r0,2,person-sport,1,0.0,0.6805,4,park-country|person-occupation|person-instrument|product-company
r0,2,person-sport,2,0.0,0.7289,5,country-currency|park-country|person-occupation|person-instrument|product-company
r0,2,person-instrument,0,0.0,0.847,2,person-occupation|person-sport
r0,2,person-instrument,1,0.0,0.8055,4,person-occupation|person-sport|product-company|word-length
r0,2,person-instrument,2,0.0,0.8551,5,country-currency|person-occupation|person-sport|product-company|verb-from-list
r0,2,product-company,0,0.16,0.8607,5,landmark-country|park-country|person-occupation|person-sport|person-instrument
r0,2,product-company,1,0.2,0.8817,5,landmark-country|park-country|person-occupation|person-sport|person-instrument
r0,2,product-company,2,0.08,0.9039,4,landmark-country|park-country|person-occupation|person-instrument
r0,2,antonym,0,0.72,0.8343,5,synonym|capitalize|english-french|next-item|prev-item
r0,2,antonym,1,0.68,0.8677,4,synonym|capitalize|next-item|prev-item
r0,2,antonym,2,0.68,0.8552,5,synonym|capitalize|english-french|next-item|prev-item
r0,2,synonym,0,0.52,0.8781,5,antonym|english-french|english-german|english-spanish|alphabetically-first
r0,2,synonym,1,0.64,0.8401,5,antonym|present-past|english-french|english-german|alphabetically-first
r0,2,synonym,2,0.64,0.8757,4,antonym|english-french|english-german|alphabetically-first
r0,2,present-past,0,0.88,0.7939,4,singular-plural|capitalize|english-french|english-german
r0,2,present-past,1,0.88,0.749,4,singular-plural|capitalize|english-french|english-german
r0,2,present-past,2,0.96,0.7292,5,singular-plural|capitalize|english-french|english-german|english-spanish
r0,2,singular-plural,0,0.96,0.7054,4,present-past|capitalize|english-french|english-german
r0,2,singular-plural,1,0.96,0.7311,4,present-past|capitalize|english-french|english-german
r0,2,singular-plural,2,0.96,0.6986,4,present-past|capitalize|english-french|english-german
r0,2,capitalize,0,1.0,0.8568,4,present-past|singular-plural|capitalize-first-letter|lowercase-first-letter
r0,2,capitalize,1,1.0,0.8864,5,present-past|singular-plural|capitalize-first-letter|lowercase-first-letter|choose-middle-of-list
r0,2,capitalize,2,1.0,0.8403,5,present-past|singular-plural|capitalize-first-letter|lowercase-first-letter|choose-middle-of-list
r0,2,capitalize-first-letter,0,0.12,0.5457,3,capitalize-last-letter|lowercase-first-letter|next-capital-letter
r0,2,capitalize-first-letter,1,0.32,0.5234,4,capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length
r0,2,capitalize-first-letter,2,0.08,0.5569,4,capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length
r0,2,capitalize-last-letter,0,0.0,0.7398,4,capitalize-first-letter|lowercase-first-letter|next-capital-letter|word-length
r0,2,capitalize-last-letter,1,0.0,0.8991,3,capitalize-first-letter|lowercase-first-letter|next-capital-letter
r0,2,capitalize-last-letter,2,0.0,0.7548,5,capitalize-first-letter|lowercase-first-letter|prev-item|next-capital-letter|alphabetically-last
r0,2,lowercase-first-letter,0,0.56,0.5714,2,capitalize-first-letter|capitalize-last-letter
r0,2,lowercase-first-letter,1,0.52,0.5775,3,capitalize-first-letter|capitalize-last-letter|prev-item
r0,2,lowercase-first-letter,2,0.6,0.5781,5,capitalize-first-letter|capitalize-last-letter|next-item|next-capital-letter|word-length
r0,2,english-french,0,0.56,0.7514,5,synonym|present-past|english-german|english-spanish|choose-last-of-list
r0,2,english-french,1,0.12,0.7282,2,english-german|english-spanish
r0,2,english-french,2,0.52,0.8473,3,present-past|english-german|english-spanish
r0,2,english-german,0,0.24,0.697,3,present-past|english-french|english-spanish
r0,2,english-german,1,0.28,0.7328,4,synonym|capitalize|english-french|english-spanish
r0,2,english-german,2,0.16,0.726,2,english-french|english-spanish
r0,2,english-spanish,0,0.68,0.656,5,country-currency|english-french|english-german|alphabetically-first|fruit-from-list
r0,2,english-spanish,1,0.76,0.6542,3,country-currency|english-french|english-german
r0,2,english-spanish,2,0.84,0.6972,2,english-french|english-german
r0,2,next-item,0,0.52,0.6739,3,antonym|capitalize-last-letter|prev-item
r0,2,next-item,1,0.56,0.6947,5,country-capital|product-company|prev-item|word-length|choose-last-of-list
r0,2,next-item,2,0.6,0.6537,4,antonym|capitalize-last-letter|prev-item|color-from-list
r0,2,prev-item,0,0.4,0.696,4,antonym|lowercase-first-letter|next-item|alphabetically-last
r0,2,prev-item,1,0.56,0.7433,5,capitalize|lowercase-first-letter|next-item|next-capital-letter|word-length
r0,2,prev-item,2,0.32,0.6922,5,antonym|capitalize|lowercase-first-letter|next-item|alphabetically-last
r0,2,next-capital-letter,0,0.0,0.7823,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|word-length
r0,2,next-capital-letter,1,0.0,0.5029,5,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-item|word-length
r0,2,next-capital-letter,2,0.0,0.8042,5,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-item|word-length
r0,2,word-length,0,0.0,0.954,3,capitalize-first-letter|capitalize-last-letter|next-capital-letter
r0,2,word-length,1,0.0,0.9407,5,person-instrument|capitalize-last-letter|lowercase-first-letter|prev-item|next-capital-letter
r0,2,word-length,2,0.0,0.8887,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter
r0,2,alphabetically-first,0,0.12,0.7287,5,alphabetically-last|choose-last-of-list|choose-middle-of-list|animal-from-list|fruit-from-list
r0,2,alphabetically-first,1,0.08,0.7967,4,alphabetically-last|choose-last-of-list|choose-middle-of-list|verb-from-list
r0,2,alphabetically-first,2,0.08,0.7485,5,alphabetically-last|choose-last-of-list|choose-middle-of-list|animal-from-list|fruit-from-list
r0,2,alphabetically-last,0,0.16,0.7354,5,alphabetically-first|choose-last-of-list|choose-middle-of-list|animal-from-list|verb-from-list
r0,2,alphabetically-last,1,0.12,0.7934,4,alphabetically-first|choose-last-of-list|choose-middle-of-list|animal-from-list
r0,2,alphabetically-last,2,0.12,0.7896,4,alphabetically-first|choose-last-of-list|choose-middle-of-list|animal-from-list
r0,2,choose-first-of-list,0,0.16,0.8153,5,alphabetically-first|alphabetically-last|choose-middle-of-list|fruit-from-list|verb-from-list
r0,2,choose-first-of-list,1,0.2,0.843,4,alphabetically-first|alphabetically-last|animal-from-list|fruit-from-list
